weight:	"[0.8, 0.1, 0.05, 0.5]"		
song name.	difficulty name	level	calculated level
éÉªë«Õ«£?«Ð?«í«Ü	extended	15	20.87392396
Pet Peeve	infinite	15	20.8739144
Triple Counter	infinite	15	20.79840451
KHAMEN BREAK	infinite	16	20.72724246
Issen	extended	14	20.27483002
ªÁª§ª¤ª¹ ª¤ªó ª¶ ªµªóª·ªãª¤ªó£¡£¡£¡	extended	14	20.19247064
Smoked Turkey Rag	infinite	17	20.0980793
VISION	infinite	14	20.06056384
Oriental Blossom	challenge	10	20.00474161
My name is TSUMABUKI	extended	14	19.99627196
õÌáÜõÌÍÔ«·«ã«Ã«¿?«¬?«ë	extended	14	19.98799811
Chocolate Planet	extended	15	19.9393978
Renegade Fruits	infinite	15	19.90968111
TRICKL4SH 220	extended	16	19.79610009
HE4VEN ¢¦ô¸?ªØªèª¦ª³ª½¢¦	infinite	20	19.74980935
-FIN4LE ¢¦ðûò­àÊªÎù¨Û°ªØ¢¦	extended	18	19.70450547
CUTIE¡ÙEX-DREAM	extended	15	19.61356559
Borealis	extended	15	19.39654099
êÅÌ¸å¨«é«Ó«Ã«È	extended	14	19.13308005
citrus	extended	14	19.06410064
VOLTEXES III	challenge	11	18.99269063
ØþªÓªËò¸ªë«¨«é«ó«×«·«¹	extended	13	18.98916558
Hyper¡ÙChipspace	extended	15	18.93981626
ON FIRE	extended	14	18.85758137
MERRiESTxHOLiC	extended	13	18.80557179
GERBERA	infinite	18	18.62504855
«É?«Ñ«ß«ó	extended	15	18.56677811
infinite;youniverse	infinite	17	18.47206152
«¤«ÖªÎãÁÓÛªÃ£¡	extended	13	18.4682083
«ê««?«·«Ö?«Õ«¡«ó«¯«·«ç«ó	extended	14	18.29212737
JUGGLE	extended	14	18.27629123
«²«­«Ä«¤«à«é«µ	extended	15	18.08191826
Dawn of Asia	infinite	15	17.99315454
crescent moon	extended	13	17.9652944
Mirrorwall	infinite	18	17.87432426
«È«ê«³«í?«ë?«À«¤«¢«ê?	extended	14	17.82684555
EGG	infinite	15	17.79819323
TWO-TORIAL	extended	17	17.65784908
â©êÅÌðü£ªÎ«³«Î«Æ?«·«ç«ó	extended	14	17.6089876
Beyond the Sandstorm	extended	14	17.56197599
choux ? la cr?me	infinite	15	17.45618591
ô¶ËÔØ²?¡ÙÙíÙýð¹£¡	extended	15	17.43611457
Innocent Floor	light	6	17.26359914
Nofram	extended	15	17.22539299
ancient garden	extended	14	17.18782692
Zero-Day Exploit	extended	15	16.92497185
VOLTEXES	challenge	10	16.82211746
cr?pe suzette	extended	14	16.7879074
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- 	challenge	12	16.71620385
HE4VEN ¢¦ô¸?ªØªèª¦ª³ª½¢¦	extended	17	16.47103346
Triple Counter	extended	15	16.38310201
Death Blossom	extended	14	16.26607958
«â«ó«¹«¿?«¹«È«é«¤«¯«á«É«ì? (SDVX REMIX)	challenge	7	16.1339621
Apex of the World	extended	15	16.05784808
World Vertex	challenge	10	16.04570438
eastward -sdvx edit-	extended	15	15.85602735
Twin Rocket	challenge	11	15.73623292
Voynich:Manuscript	extended	15	15.58066132
Borealis	challenge	11	15.56850347
«â«é«È«ê«¢«à«Î«ª«È	extended	13	15.2820153
VOLTEXES II	challenge	9	15.2153885
ñÓö¢Þ«ßÖ ¢¦ Lunatic Princess (Ryu¡ÙRemix)	extended	14	15.09178021
TU-MA-MI¡âALL-NIGHTER	extended	14	15.07190925
ü£«Îù»Ö§Ê°	extended	14	14.92565234
«µ«¤«Ð?«µ«ó«À?«µ«¤«À?	extended	13	14.86492727
Renegade Fruits	extended	14	14.64214217
Ò³åëç¨ªÎá¼ã÷	extended	13	14.62405193
Oriental Blossom	light	5	14.52963222
About me	challenge	7	14.38975312
About me	light	3	14.37733445
Gorgetech	infinite	18	14.02968093
Our Faith (takdrive remix)	extended	14	13.68900728
If	infinite	17	13.56901395
Øª×âÞÞªÏÓÞ?ªÊªâªÎªò?ªóªÇª¤ª­ªÞª·ª¿	extended	13	13.50080718
?ÍöªÈÎÃÙ¥ªÎ«Ç«£«¹«¯?«ë	extended	13	13.26543194
«Õ«é«Ã«¿?úÞßÚªÎ?ØÇªÈ?ìéò¦ú¾àõªÎÊïï×Öå	extended	14	13.20549514
äáå¨ÙñÓÎ? -ÝüÜ¡ªÈïÊªÎª¿ªáªÎmasquerade-	extended	14	13.02427057
Hyper¡ÙChipspace	challenge	9	12.74996782
Demise Quartet	extended	15	12.74255041
«®«ã«é«¯«·«£?«È«é«Ù«é?	extended	14	12.69363344
Dharma	infinite	17	12.42635546
Crazy ¡Ä nighT	extended	14	12.25343073
Never Regret Anything	extended	14	12.11300816
Our Faith (takdrive remix	challenge	10	11.76869459
Angels and Demons	challenge	10	11.62647978
Scene	challenge	10	11.52891057
Solitude & Nightmare	extended	14	11.50664097
Celestial stinger	infinite	15	11.48961034
«É?«Ñ«ß«ó	challenge	12	11.43930305
Scene	extended	13	11.29495437
Got more raves?	infinite	19	11.17539259
-å³áÖ-	extended	14	11.15920007
Pieces	challenge	8	10.62013677
Noisy Minority	infinite	18	10.61475868
Øª×âÞÞªÏÓÞ?ªÊªâªÎªò?ªóªÇª¤ª­ªÞª·ª¿	challenge	9	10.5258405
Never Let it End	extended	13	10.39338481
twilight signal	challenge	8	10.18733068
Chlo?	light	4	10.11265971
Angels and Demons	light	5	10.08484725
àÊúÅü£ûý SDVX edit	light	1	9.96462415
Chlo?	challenge	11	9.883778509
ECHO	challenge	8	9.845674192
The Wind of Gold -H¥ÄPPY MIX-	extended	14	9.611645748
õÌðûÐ¡õåØÙ«Õ«é«ó«É?«ë?S	extended	15	9.576744015
TRIGGER¡ÚHAPPY	light	5	9.52738658
Discover the Life	extended	14	9.380791831
Noisy Minority	extended	16	9.236819736
ÏÖªÈÜÒªÈª½ªÎÍöÛÜªÈ	extended	13	9.164330649
Enigma	light	6	9.088845718
«í«¹«È«ï«óªÎ?ÍÖ	light	3	9.045626534
ª¤?ª¢ªëªÕª¡ªóª¯ªéªÖ	extended	13	9.003531744
á´Ò´ªÏÍöªò?ªë Prog Piano Remix	challenge	9	8.997435098
Xepher Light and Darkness Dragon REMIX	extended	14	7.839682457
ûäªëõðªÎìí	extended	13	7.699252847
eternita	light	5	7.689894125
We Go Down	infinite	18	7.508685242
Scene	light	4	7.362030183
«µ«¤«Ð?«µ«ó«À?«µ«¤«À?	challenge	8	7.131448192
ÏÖªÈÜÒªÈª½ªÎÍöÛÜªÈ	challenge	9	6.945238689
ú¹ª»ªËªÊªìªë?ª·«³«Þ«ó«Éª¬ª¢ªëªéª·ª¤	light	6	6.879682865
Invitation from Mr.C	light	6	6.580129846
Belly Flopper	light	4	6.539403783
Hyper¡ÙChipspace	light	5	6.380941471
AYAKASHI	light	5	6.37262099
Our Faith (takdrive remix)	light	4	6.21382962
ª¤?ª¢ªëªÕª¡ªóª¯ªéªÖ	challenge	7	5.364299641
àÊúÅü£ûý SDVX edit	extended	11	5.335601632
Borealis	light	5	5.139260805
Øª×âÞÞªÏÓÞ?ªÊªâªÎªò?ªóªÇª¤ª­ªÞª·ª¿	light	4	5.004448271
World Vertex	light	4	4.83554388
F.K.S.	light	6	4.687137154
VOLTEXES II	light	3	4.421992264
INDEPENDENT SKY	light	5	4.409201147
